year,title
2012,Cytological cell blocks: Predictors of squamous cell carcinoma and adenocarcinoma subtypes.
2012,Adenomatoid nodules are the main cause for discrepant histology in 234 thyroid fine-needle aspirates reported as follicular neoplasm.
2012,Quantitative lymph node evaluation as an independent marker of long-term prognosis in stage III rectal cancer.
2012,Definitive treatment of metastatic nasopharyngeal carcinoma: Report of 5 cases with review of literature.
2012,Comparison Between Concurrent Chemoradiation Followed by Surgery vs. Surgery for Locally Advanced Cancer of Esophagus.
2012,Comparison of immunohistochemistry with conventional histopathology for evaluation of sentinel lymph node in breast cancer.
2012,External coloanal anastomosis without covering stoma in low-lying rectal cancer.
2012,Squash cytology of subependymal giant cell astrocytoma: report of four cases with brief review of literature.
2012,Tumor type and single-cell/mesothelial-like cell pattern of breast carcinoma metastases in pleural and peritoneal effusions.
2012,Fine-needle aspiration cytology and flow cytometric immunophenotyping in diagnosis and classification of non-Hodgkin lymphoma in comparison to histopathology.
2012,Fine-needle aspiration cytology diagnosis of metastatic nonhaematological neoplasms of the breast: a series of seven cases.
2012,Transcription expression and clinical significance of vascular endothelial growth factor mRNA and endostatin mRNA in pleural effusions of patients with lung cancer.
2012,"Cancer mortality, state mean elevations, and other selected predictors."
2012,Reactive oxygen species signaling in cancer: comparison with aging.
2012,Characteristics of Killian-Jamieson diverticula mimicking a thyroid nodule.
2012,Using the theory of planned behavior to understand health professionals' attitudes and intentions to refer cancer patients for psychosocial support.
2012,Cancer Treatment Survey (CaTS): development and validation of a new instrument to measure patients' preparation for chemotherapy and radiotherapy.
2012,"Dysplasia severity, but not experiences during colposcopy, predicts adherence to follow-up colposcopy."
2012,Determinants of the burden and positivity of family caregivers of terminally ill cancer patients in Korea.
2012,Quality of life of family caregivers 5 years after a relative's cancer diagnosis: follow-up of the national quality of life survey for caregivers.
2012,Mindfulness-based cognitive therapy reduces chronic cancer-related fatigue: a treatment study.
2012,Does psychological adjustment of melanoma survivors differs between genders?
2012,Depression in lung cancer patients: the role of perceived stigma.
2012,Circulating microRNAs: a novel class of biomarkers to diagnose and monitor human cancers.
2012,Prophylactic and therapeutic implications of toll-like receptor ligands.
2012,Uptake of the human papillomavirus vaccine: a review of the literature and report of a quality assurance project.
2020,CT findings of misleading features of colonic diverticulitis.
2012,In vivo bioluminescent imaging (BLI): noninvasive visualization and interrogation of biological processes in living animals.
2012,Metastatic disease to the pancreas documented by endoscopic ultrasound guided fine-needle aspiration: a seven-year experience.
2012,"Endometrial glandular and stromal breakdown, Part 4: Cytomorphology of &quot;condensed cluster of stromal cells including a light green body&quot;."
2012,"HSIL, epithelial cell abnormality-adjusted workload, and the Thinprep imaging system."
2012,Papanicolaou's nebular cells are related to HPV infection and HSIL.
2012,Role of morphometry in evaluation of cytologically borderline breast lesions: a study of 70 cases.
2012,Image quality of digital direct flat-panel mammography versus an indirect small-field CCD technique using a high-contrast phantom.
2012,Pathologic findings in MRI-guided needle core biopsies of the breast in patients with newly diagnosed breast cancer.
2012,Biological characteristics and medical treatment of breast cancer in young women-a featured population: results from the NORA study.
2012,"Role of CEACAM1, ECM, and mesenchymal stem cells in an orthotopic model of human breast cancer."
2012,A flexible multi-stage design for phase II oncology trials.
2012,An adaptive seamless phase II/III design for oncology trials with subpopulation selection using correlated survival endpoints.
2012,Nedaplatin: a radiosensitizing agent for patients with cervical cancer.
2012,The Role of Wild-Type p53 in Cisplatin-Induced Chk2 Phosphorylation and the Inhibition of Platinum Resistance with a Chk2 Inhibitor.
2012,Colorectal stenting in malignant large bowel obstruction: the learning curve.
2012,Second-look surgery for colorectal cancer: revised selection factors and new treatment options for greater success.
2012,Oncogenic osteomalacia from nasal cavity giant cell tumor.
2012,Near-infrared fluorescence imaging of lymphatics in head and neck lymphedema.
2012,Folliculosebaceous cystic hamartoma of the ear and periauricular skin.
2012,Hybrid cysts: a clinicopathological study of seven cases.
2012,Lipoplatin treatment in lung and breast cancer.
2012,Leiomyoma of the foot: sonographic features with pathologic correlation.
2012,[Anesthesia for a man with bullous amyloidosis as the first sign of advanced primary amyloidosis].
2012,[Perioperative mortality: retrospective cross-sectional study of surgical patients who died between 2004 and 2008 in a tertiary care hospital].
2012,Primary carcinosarcoma of the skin.
2012,Conjoint Analysis Applications in Health - How are Studies being Designed and Reported?: An Update on Current Practice in the Published Literature between 2005 and 2008.
2012,Patient preferences and linear scoring rules for patient-reported outcomes.
2012,Role of telehealth/videoconferencing in managing cancer pain in rural American Indian communities.
2012,Being active or flexible? Role of control coping on quality of life among patients with gastrointestinal cancer.
2012,Relationship of threat appraisal with coping appraisal to fear of cancer recurrence in breast cancer survivors.
2012,"Knowledge, attitudes and beliefs of Arabic-Australians concerning cancer."
2012,Delirium prevention in terminal cancer: assessment of a multicomponent intervention.
2012,Development of CBT for chemotherapy-related cognitive change: results of a waitlist control trial.
2012,Managing a dual role--experiences and coping strategies of parents donating haploidentical G-CSF mobilized peripheral blood stem cells to their children.
2012,Development of the Psycho-social Discomfort Scale (PsDS): investigation of psychometric properties among Japanese breast cancer survivors.
2012,The impact of social and personal resources on psychological distress in women at risk for hereditary breast cancer.
2012,The mediating effects of social support and self-efficacy on the relationship between social distress and emotional distress in head and neck cancer outpatients with facial disfigurement.
2012,The psychosocial impact of interrupted childbearing in long-term female cancer survivors.
2012,Willingness-to-pay for predictive tests with no immediate treatment implications: a survey of US residents.
2012,Current status of immunotherapy for the treatment of lung cancer.
2012,Outcomes of a hybrid technique for video-assisted thoracoscopic surgery (VATS) pulmonary resection in a community setting.
2012,Comparative outcomes of squamous and non-squamous non-small cell lung cancer (NSCLC) patients in phase II studies of ASA404 (DMXAA) - retrospective analysis of pooled data.
2012,Targeting the tumor vascular supply with vascular disrupting agents.
2012,Patient selection in non-small cell lung cancer: Histologic versus molecular subtypes?
2012,"Components of an anticancer diet: dietary recommendations, restrictions and supplements of the Bill Henderson Protocol."
2012,Effects of dietary fiber and its components on metabolic health.
2012,Urothelial carcinoma involving vaginal specimens from patients with neobladder: a potential pitfall in diagnostic cytopathology.
2012,The diagnostic utility of CK5/6 and p63 in fine-needle aspiration of the breast lesions diagnosed as proliferative fibrocystic lesion.
2012,Endobronchial ultrasound-guided transbronchial needle aspirate (EBUS-TBNA): a proposal for on-site adequacy criteria.
2012,Utility of the Thin Prep Imaging System® in the detection of squamous intraepithelial abnormalities on retrospective evaluation: can we trust the imager?
2012,Diagnostic accuracy and safety of fine-needle aspiration biopsy of the parapharyngeal space.
2012,Spectrum of male breast lesions diagnosed by fine needle aspiration cytology: a 5-year experience at a tertiary care rural hospital in central India.
2012,Intraoperative squash cytology of central nervous system lesions: a single center study of 326 cases.
2012,Rinse fluid and imprint smear cytology of bronchial biopsies in diagnosis of lung tumors.
2012,Bidirectional function of shenghe powder on repair of radiation-induced DNA damage in glioma and astrocyte.
2012,Combination treatment with oxaliplatin and mangiferin causes increased apoptosis and downregulation of NFκB in cancer cell lines.
2012,"Genistein and daidzein, in combination, protect cellular integrity during 7,12-dimethylbenz[a]anthracene (DMBA) induced mammary carcinogenesis in Sprague-Dawley rats."
2012,Current trends in initial management of hypopharyngeal cancer: the declining use of open surgery.
2012,Emotional needs of teens with polycystic ovary syndrome.
2013,Hormone receptor status of breast cancer in the himalayan region of northern India.
2012,pH effect on cellular uptake of Sn(IV) chlorine e6 dichloride trisodium salt by cancer cells in vitro.
2012,ErbB family receptor inhibitors as therapeutic agents in breast cancer: current status and future clinical perspective.
2012,Gall bladder tuberculosis masquerading as carcinoma: dilemma resolved by aspiration cytology.
2012,Polyvinylpyrrolidone storage disease presenting as pathologic fracture and anemia: report of a case with imprint cytology.
2012,Endoscopic ultrasound guided fine-needle aspiration diagnosis of duodenal high grade neuroendocrine carcinoma underlying a villous adenoma: report of a case.
2012,Basal cell adenoma with extensive squamous metaplasia and cellular atypia: a case report with cytohistopathological correlation and review of the literature.
2012,Intracytoplasmic crystalline and globular inclusions in small lymphocytic lymphoma in transformation.
2012,The value of fine needle aspiration biopsy in the diagnosis and prognostic assessment of palpable breast lesions.
2012,Fine-needle aspiration as a diagnostic technique in 50 cases of primary Ewing sarcoma/peripheral neuroectodermal tumor. Institut Curie's experience.
2012,"The value of duplicate slides on atypical squamous cells, cannot exclude high-grade intraepithelial lesion."
2012,Sacral and presacral lesions: cytopathologic analysis and clinical correlates.
2012,The cytologic findings in choroid plexus carcinoma: report of a case with differential diagnosis.
2012,Hypercalcemic crisis due to a mediastinal parathyroid cyst diagnosed by ultrasound-guided fine needle aspiration.
2012,Coexistence of a c-kit negative gastrointestinal stromal tumor and a gastric mucinous adenocarcinoma.
2012,Anesthesia management of tracheal resection.
2012,Subtotal colectomy with antiperistaltic cecoproctostomy is an alternative technique for two-stage management of obstructed left colon carcinoma.
2012,Diffusion-weighted magnetic resonance imaging with short T1 inversion recovery-echo planar imaging combined with dual-head coincidence single photon emission computed tomography for diagnosing solitary pulmonary nodule.
2012,Analysis of isocitrate dehydrogenase-1/2 gene mutations in gliomas.
2012,"Inhibition of periostin gene expression via RNA interference suppressed the proliferation, apoptosis and invasion in U2OS cells."
2012,Chromosome 1p/19q status combined with expression of p53 protein improves the diagnostic and prognostic evaluation of oligodendrogliomas.
2012,Extrahepatic synthesis of coagulation factor VII by colorectal cancer cells promotes tumor invasion and metastasis.
2012,IMP3 is a novel biomarker to predict metastasis and prognosis of gastric adenocarcinoma: a retrospective study.
2012,Correlation between elevated FOXP3 expression and increased lymph node metastasis of gastric cancer.
2012,Hysteroscopy and directed biopsy in the diagnosis of endometrial carcinoma.
2012,Endoscopic transsphenoidal approach to pituitary adenomas invading the cavernous sinus.
2012,Erlotinib treatment for persistent spontaneous pneumothorax in non-small cell lung cancer: a case report.
2012,Giant cell angiofibroma in the vocal cord.
2012,Differential gene expression by fiber-optic beadarray and pathway in adrenocorticotrophin-secreting pituitary adenomas.
2012,XPC Lys939Gln polymorphism is associated with the decreased response to platinum based chemotherapy in advanced non-small-cell lung cancer.
2012,Pilot study of intravesical instillation of two new generation anthracycline antibiotics in prevention of superficial bladder cancer recurrence.
2020,A Gaussian Copula Model for Multivariate Survival Data.
2012,Indications for radiotherapy after neck dissection.
2012,Matrix metalloproteinases in cytotoxic lymphocytes impact on tumour infiltration and immunomodulation.
2011,The traceability of carcinogenic occupational risks: state of progress in France compared with other European countries.
2012,"Estrogen, alcohol consumption, and breast cancer."
2012,Current status and future potential of somatic mutation testing from circulating free DNA in patients with solid tumours.
2013,A novel morbidity prediction model for head and neck oncosurgery.
2013,Nutritional assessment of patients after pylorus-preserving gastrectomy for early gastric cancer.
2016,Novel Strategy to Fabricate PLA/Au Nanocomposites as an Efficient Drug Carrier for Human Leukemia Cells in Vitro.
2016,Oral Delivery of DMAB-Modified Docetaxel-Loaded PLGA-TPGS Nanoparticles for Cancer Chemotherapy.
2012,"[Lung metastasis surgery, yesterday and now]."
2012,Epigenetic architecture and miRNA: reciprocal regulators.
2012,Targeting epigenetic networks with polypharmacology: a new avenue to tackle cancer.
2012,Histone deacetylase inhibitors in the therapy of cancer: much to learn.
2012,Targeting ncRNAs to combat metastases.
2012,DNA methylation and miRNA expression profiling in childhood B-cell acute lymphoblastic leukemia.
2012,Epigenetics in Waldenström's macroglobulinemia.
2012,Epigenetics of prostate cancer and the prospect of identification of novel drug targets by RNAi screening of epigenetic enzymes.
2012,Can BMI-1 be a biomarker of poor prognosis?
2012,Fractal dimension of chromatin and cancer prognosis.
2012,Novel one-stop multidisciplinary follow-up clinic for BRCA1/2 carriers: patient satisfaction and decision making.
2012,Validation of the Chinese version of the short-form Supportive Care Needs Survey Questionnaire (SCNS-SF34-C).
2012,Psychological outcomes of siblings of cancer survivors: a report from the Childhood Cancer Survivor Study.
2012,"Issues in collecting, processing and storing human tissues and associated information to support biomedical research."
2012,Bioinformatics: biomarkers of early detection.
2012,Stomach - Genetic and epigenetic alterations of preneoplastic and neoplastic lesions.
2012,The molecular pathology of sarcomas.
2012,Renal cell carcinoma.
2012,Molecular pathology of prostate cancer.
2012,Molecular pathology of early pancreatic cancer.
2012,Micrometastasis: detection methods and clinical importance.
2012,Preneoplasia of lung cancer.
2012,Hepatocellular carcinoma of the liver.
2012,Pathogenesis of early leukemia and lymphoma.
2012,Molecular changes in the multistage pathogenesis of head and neck cancer.
2012,Early events during neoplastic progression in Barrett's esophagus.
2012,Molecular pathogenesis of endometrial and ovarian cancer.
2012,The molecular pathology of cutaneous melanoma.
2012,Development and progression of colorectal neoplasia.
2012,Molecular and genetic basis of childhood cancer.
2012,Central nervous system.
2012,Biologic characteristics of premalignant breast disease.
2012,Molecular pathology and biomarkers of bladder cancer.
2012,Stromal-epithelial interactions in early neoplasia.
2012,Noncoding RNAs in molecular characterization of cancer preneoplasia.
2012,Molecular cytogenetic evidence for multistep tumorigenesis: implications for risk assessment and early detection.
2012,DNA methylation in early neoplasia.
2012,Cancer stem cells and markers: new model of tumorigenesis with therapeutic implications.
2012,Biomarkers and the genetics of early neoplastic lesions.
2012,"The biology of incipient, pre-invasive or intraepithelial neoplasia."
2012,Translational pathology of neoplasia.
2012,Translational pathology of early cancer.
2012,Novel therapeutic strategies following docetaxel-based chemotherapy in castration-resistant prostate cancer.
2012,"A comparison of radical perineal, radical retropubic, and robot-assisted laparoscopic prostatectomies in a single surgeon series."
2012,Development and External Validation of a Nomogram Predicting the Probability of Significant Gleason Sum Upgrading among Japanese Patients with Localized Prostate Cancer.
2012,Oncologic outcomes of asian men with clinically localized prostate cancer after extraperitoneal laparoscopic radical prostatectomy: a single-institution experience.
2012,Robot-assisted laparoscopic radical prostatectomy in the morbidly obese patient.
2012,Minimally invasive ablative therapies for definitive treatment of localized prostate cancer in the primary setting.
2012,Beyond diagnosis: evolving prostate biopsy in the era of focal therapy.
2012,Younger age is an independent predictor for poor survival in patients with signet ring prostate carcinoma.
2012,Effect of zoledronic Acid on bone mineral density in men with prostate cancer receiving gonadotropin-releasing hormone analog.
2011,Challenges in recruiting Mexican women for cancer genetics research.
2012,The development of a comprehensive needs assessment tool for cancer-caregivers in patient-caregiver dyads.
2011,Ileorectal fistula due to a rectal cancer-A case report.
2011,Suspected oesophageal cancer in a 33 year old lady.
2011,First danish single-institution experience with radical prostatectomy: biochemical outcome in 1200 consecutive patients.
2012,Quality of health in survivors of childhood acute myeloid leukemia treated with chemotherapy only: a NOPHO-AML study.
2011,MR Imaging of Prostate Cancer: Diffusion Weighted Imaging and (3D) Hydrogen 1 (H) MR Spectroscopy in Comparison with Histology.
2012,A uncommon cause of haemoptysis: metastatic collecting duct renal carcinoma.
2012,Decoy cells and malignant cells coexisting in the urine from a transplant recipient with BK virus nephropathy and bladder adenocarcinoma.
2012,Fine-needle aspiration cytology with histological correlation of chordoma metastatic to the lung: a diagnostic dilemma.
2012,Fine-needle aspiration cytology of primitive neuroectodermal tumor of the urinary bladder: a case report.
2012,Cytologic findings in two cases of dermoid cysts with malignant transformation.
2012,Divide and rule: cytodiagnosis of thyroid lesions using pattern analysis: a study of 233 cases.
2012,Cutaneous and subcutaneous metastases from internal malignancies: an analysis of cases diagnosed by fine needle aspiration.
2012,Glandular neoplasia and borderline endocervical reporting rates before and after conversion to the SurePath(TM) liquid-based cytology (LBC) system.
2012,Cutaneous squamous cell carcinoma of the head and neck metastasizing to the parotid gland--a review of current recommendations.
2012,Lymph node metastasis in nasal vestibule cancer: a review.
2012,Therapeutic complications in a patient with high-risk acute lymphoblastic leukemia and undiagnosed hereditary hemochromatosis.
2011,Gastric lipomatosis.
2011,Comparison of Learning Curves and Clinical Outcomes between Laparoscopy-assisted Distal Gastrectomy and Open Distal Gastrectomy.
2011,The Early Experience of Laparoscopy-assisted Gastrectomy for Gastric Cancer at a Low-volume Center.
2011,Feasibility of gastric cancer surgery at low volume hospitals.
2011,Which Is the Optimal Extent of Resection in Middle Third Gastric Cancer between Total Gastrectomy and Subtotal Gastrectomy?
2011,Clinicopathological characteristics and prognosis of remnant gastric cancer.
2011,Clinicopathological Features of Upper Third Gastric Cancer during a 21-Year Period (Single Center Analysis).
2011,The feasibility of short term prophylactic antibiotics in gastric cancer surgery.
2011,Prognostic significance of preoperative blood transfusion in stomach cancer.
2011,Image-based Approach for Surgical Resection of Gastric Submucosal Tumors.
2011,Is Surgical Treatment Necessary after Non-curative Endoscopic Resection for Early Gastric Cancer?
2011,The diagnostic accuracy of endoscopic biopsy for gastric dysplasia.
2011,Phenotypic Differences of Gastric Cancer according to the Helicobacter pylori Infection in Korean Patients.
2011,Frequency and predictive factors of lymph node metastasis in mucosal cancer.
2011,In vitro adenosine triphosphate based chemotherapy response assay in gastric cancer.
2011,Microsatellite instability is associated with the clinicopathologic features of gastric cancer in sporadic gastric cancer patients.
2012,Erythema annulare centrifugum-like mycosis fungoides.
2012,Porokeratosis of Mibelli: Involution and resolution with 5% imiquimod cream.
2013,Novel cytotoxic vectors based on adeno-associated virus.
2013,Ribosome-inactivating proteins: from plant defense to tumor attack.
2013,Targeted toxins in brain tumor therapy.
2013,Snake venom disintegrins and cell migration.
2013,Mechanisms of Cisplatin nephrotoxicity.
2013,Verotoxin-1 treatment or manipulation of its receptor globotriaosylceramide (gb3) for reversal of multidrug resistance to cancer chemotherapy.
2013,Targeting inflammatory pathways by triterpenoids for prevention and treatment of cancer.
2013,ADAM-15 disintegrin-like domain structure and function.
2013,Genomic damage in endstage renal disease-contribution of uremic toxins.
2013,"Comments on &quot;Ochratoxin A: In utero Exposure in Mice Induces Adducts in Testicular DNA. Toxins 2010, 2, 1428-1444&quot;-Mis-Citation of Rat Literature to Justify a Hypothetical Role for Ochratoxin A in Testicular Cancer."
2011,Assessing the effect of two praying methods on the life quality of patients suffering from cancer hospitalized at Seyedo Shohada medical center of Isfahan University of Medical Sciences.
2012,Capillary haemangioma of the middle ear: a rare lesion difficult to evaluate.
2012,Bilateral osseous stenosis of the internal auditory canal: case report.
2011,Local resection of gastrointestinal stromal tumor of the second part of duodenum.
2011,Do nurses provide holistic care to cancer patients?
2011,Efficacy of Rasayana Avaleha as adjuvant to radiotherapy and chemotherapy in reducing adverse effects.
2011,[Bone microarchitecture].
2011,Differential Secondary Reconstitution of In Vivo-Selected Human SCID-Repopulating Cells in NOD/SCID versus NOD/SCID/γ chain Mice.
2011,[Immunotherapy of melanoma].
2011,[Epitheliotropic lymphomas: better identification for improved treatment].
2016,Coexistence of bladder prostatic-type polyp and urothelial papilloma.
2016,Mature cystic teratoma of the appendix: a case report.
2016,Mean nuclear volume in complex atypical hyperplasia and adenocarcinoma of the endometrium.
2016,Quantificational and statistical analysis of the differences in centrosomal features of untreated lung cancer cells and normal cells.
2016,Effects of image resolution and noise on estimating the fractal dimension of tissue specimens.
2016,Usefulness and limitations of alpha-methylacyl-CoA racemase expression in the hepatobiliary system and pancreas: a wide tissue microarray analysis of normal and neoplastic epithelia.
2016,Prognostic significance of p53 and KAI-1 expression in patients with laryngeal squamous cell carcinoma.
2011,Epigenetics: A New Bridge between Nutrition and Health.
2011,"Terminalia Arjuna (Roxb.) Modulates Circulatory Antioxidants on 7,12-dimethylbenz(a)anthracene- induced Hamster Buccal Pouch Carcinogenesis."
2011,HER2/neu Immunostaining in Invasive Breast Cancer: Analysis of False Positive Factors.
2011,"Mapping health services and policy research settings in Canada: following the money, the publications and the interest."
2011,Indian spices for healthy heart - an overview.
2012,[Human papillomavirus (HPV) vaccine acceptability amongst parents of adolescents in four Colombian areas].
2012,[Physical activity in adolescents of five Colombian cities: Results of the Global Youth Health Survey].
2012,[The concept of quality of life in women suffering from cancer].
2020,Comment on &quot;Correlated z-values and the accuracy of large-scale statistical estimates&quot; by Bradley Efron.
2012,[Nodular presentation of a cryptogenic organizing pneumonia].
2011,Lung cancer in Oregon.
2011,"Two Endogenous Antiangiogenic Inhibitors, Endostatin and Angiostatin, Demonstrate Biphasic Curves in their Antitumor Profiles."
2011,Early effects of low dose C ion or x-ray irradiation on peripheral blood lymphocytes of patients with alimentary tract cancer.
2011,Cancer mortality for a single race in low versus high elevation counties in the u.s.
2012,Synovial sarcoma of the foot: a case report.
2012,Tri-compartmental tubercular arthritis of knee masquerading as popliteal fossa tumor: a case report.
2012,Expression of b-FGF and endostatin and their clinical significance in human osteosarcoma.
2012,Experts' agreement on therapy for bone metastases.
2011,"Educational Book of the 35th ESMO (European Society for Medical Oncology) Congress. Milan, Italy. October 8-12, 2010."
2019,Synthesis and in vitro antiproliferative activity of novel (4-chloro- and 4-acyloxy-2-butynyl)thioquinolines.
2011,Oral fibrolipoma-a rare histological entity: report of 3 cases and review of literature.
2011,Hepatocyte Lysosomal Membrane Stabilization by Olive Leaves against Chemically Induced Hepatocellular Neoplasia in Rats.
2012,Increasing the efficacy of oncolytic adenovirus vectors.
2012,Jaagsiekte sheep retrovirus biology and oncogenesis.
2012,Detecting retroviral sequences in chronic fatigue syndrome.
2012,Friend Spleen Focus-Forming Virus Activates the Tyrosine Kinase sf-Stk and the Transcription Factor PU.1 to Cause a Multi-Stage Erythroleukemia in Mice.
2012,Serotype chimeric human adenoviruses for cancer gene therapy.
2012,Cystic schwannoma in neck: fallacious diagnosis arrived on fine needle aspiration cytology.
2012,Mixed medullary-follicular carcinoma of the thyroid: diagnostic dilemmas in fine-needle aspiration cytology.
2012,Cytopathologic characteristics and differential diagnostic considerations of neuroglial heterotopia of the retropharyngeal space.
2012,Urine cytology of micropapillary carcinoma of the urinary bladder.
2012,Adrenal rest in testis diagnosed by fine-needle aspiration cytology.
2012,Solitary intrascrotal neurofibroma: a case diagnosed on aspiration cytology.
2012,Cytomorphology of intraparenchymal mesenchymal chondrosarcoma in frontal lobe: report of a case.
2012,Predicting screening sensitivity from workload in gynecologic cytology: a review.
2012,A case of pulmonary malignant epithelioid hemangioendothelioma misdiagnosed as adenocarcinoma by fine needle aspiration cytology.
2011,"Prevalence and Distribution of High-Risk Genotypes of HPV in Women with Severe Cervical Lesions in Madrid, Spain: Importance of Detecting Genotype 16 and Other High-Risk Genotypes."
2012,Endovascular embolization of cervical hemangiopericytoma with Onyx-18: case report and review of the literature.
2012,Preoperative direct percutaneous embolization of spinal metastasis from renal cell carcinoma.
2012,Trigeminocardiac reflex during the percutaneous injection of ethylene vinyl alcohol copolymer (Onyx) into a juvenile nasopharyngeal angiofibroma: a report of two cases.
2012,Complete devascularization of a juvenile angiofibroma by direct percutaneous embolization with only ethylene vinyl alcohol copolymer (Onyx) through a single needle placement.
2012,Integrated cone-beam CT and fluoroscopic navigation in treatment of head and neck vascular malformations and tumors.
2012,Transarterial Onyx embolization of sacral chordoma: case report and review of the literature.
2012,Palliation of compression fractures in cancer patients by vertebral augmentation: a retrospective analysis.
2012,Practical management of malignant compression fractures.
2012,Association of p16(INK4a) overexpression with improved outcomes in young patients with squamous cell cancers of the oral tongue.
2012,Activating transcription factor-2 in survival mechanisms in head and neck carcinoma cells.
2012,Oral maxillary squamous carcinoma: an indication for neck dissection in the clinically negative neck.
2012,Carcinoma of unknown primary in the head and neck: comparison between positron emission tomography (PET) and PET/CT.
2012,Pretreatment nutritional status and locoregional failure of patients with head and neck cancer undergoing definitive concurrent chemoradiation therapy.
2012,Minimally invasive video-assisted thyroidectomy 2.0: expanded indications in a tertiary care cancer center.
2012,Impact of average weekly dose of radiation during radiotherapy alone or chemoradiotherapy in head and neck cancer.
2012,Utility of CT surveillance for primary site recurrence of squamous cell carcinoma of the head and neck.
2011,"Idiopathic bone marrow dysplasia of unknown significance (IDUS): definition, pathogenesis, follow up, and prognosis."
2011,Systematic review: epidemiology of oesophageal cancer in Sub-Saharan Africa.
2011,Locally advanced skin cancer in an albino: a treatment dilemma.
2011,Effect of daily aspirin on long-term risk of death due to cancer.
2011,Cirrhosis and Chronic Viral Hepatitis as Risk Factors for Hepatocellular Carcinoma: Romanian Single-clinic Experience.
2011,Mortality Risk and Etiologic Spectrum of Community-acquired Pneumonia in Hospitalized Adult Patients.
2011,The bronchoalveolar lavage pattern in radiation pneumonitis secondary to radiotherapy for breast cancer.
2011,Synthesis and Biological Evaluation of Chalcones having Heterosubstituent(s).
2020,Launching of American Journal of Cancer Research.
2020,Autophagy regulation in cancer development and therapy.
2020,Decrease in CD8+ lymphocyte number and altered cytokine profile in human prostate cancer.
2020,Harnessing the cell death pathway for targeted cancer treatment.
2020,A placenta growth factor 2 variant acts as dominant negative of vascular endothelial growth factor A by heterodimerization mechanism.
2020,Exosome/microvesicle-mediated epigenetic reprogramming of cells.
2020,"Heat shock protein 10 (Hsp10) in immune-related diseases: one coin, two sides."
2020,CDH22 expression is reduced in metastatic melanoma.
2020,Klotho is silenced through promoter hypermethylation in gastric cancer.
2020,Molecular aspects of renal cell carcinoma: a review.
2020,The immunohistochemical characterization of sarcomatoid malignant mesothelioma of the pleura.
2020,Therapy of adrenocortical cancer: present and future.
2020,Oncoantigens for an immune prevention of cancer.
2020,NF-κB and cancer: a paradigm of Yin-Yang.
2020,E-cadherin plasticity in prostate cancer stem cell invasion.
