year,title
2011,Spinal epidural lipomatosis: An unusual cause of relapsing and remitting paraparesis.
2011,Obesity in the north of Iran (south east of Caspian Sea).
2011,A study of standardized extracts of Picrorhiza kurroa Royle ex Benth in experimental nonalcoholic fatty liver disease.
2011,Long-term effects of aerobic plus resistance training on the metabolic syndrome and adiponectinemia in obese adolescents.
2011,A fairy tale of modern insulin therapy in type 1 diabetes.
2011,Mechanisms of developmental programming of the metabolic syndrome and related disorders.
2011,Metabolic effects of obesity: A review.
2011,Renal function in diabetic nephropathy.
2011,Surrogate markers of insulin resistance: A review.
2011,Exacerbation of chronic inflammatory diseases by infectious agents: Fact or fiction?
2011,Polymorphisms in CTNNBL1 in relation to colorectal cancer with evolutionary implications.
2011,Antiobesity effects of Undaria lipid capsules prepared with scallop phospholipids.
2020,Hepatic PTP1B Deficiency: The Promise of a Treatment for Metabolic Syndrome?
2013,The relation between weight-based teasing and psychological adjustment in adolescents.
2011,Impact of Fenofibrate on Type 2 Diabetes Patients with Features of the Metabolic Syndrome: Subgroup Analysis From FIELD.
2011,Facing type 2 diabetes in the healthcare reform era.
2016,Sugar-Sweetened Beverages: General and Oral Health Hazards in Children and Adolescents.
2011,The video laryngoscopes blind spots and possible lingual nerve injury by the Gliderite rigid stylet--case presentation and review of literature.
2011,Obesity in adult Nigerians: a study of its prevalence and common primary co-morbidities in a semi-urban Mission General Hospital in South-Eastern Nigeria.
2011,[Splenic gangrene due to Streptococcus anginosus after a sleeve gastrectomy. Report of one case].
2011,The effect of hypocaloric diet enriched in legumes with or without L-arginine and selenium on anthropometric measures in central obese women.
2011,"The influence of calcium supplement on body composition, weight loss and insulin resistance in obese adults receiving low calorie diet."
2011,The clinical challenges of diabetes management.
2011,"Prostate cancer risk in the Swedish AMORIS study: the interplay among triglycerides, total cholesterol, and glucose."
2012,Effect of ginsenosides Rg3 and Re on glucose transport in mature 3T3-L1 adipocytes.
2011,[The Guadix study of the effects of a Mediterranean-diet breakfast on the postprandial lipid parameters of overweight and obese pre-adolescents].
2011,Relation of C358A polymorphism of the endocannabinoid degrading enzyme fatty acid amide hydrolase (FAAH) with obesity and insulin resistance.
2011,[Long-term efficacy and safety of Roux-en-Y gastric bypass and gastric banding: systematic review].
2011,"Effects of a balanced energy and high protein formula diet (Vegestart complet®) vs. low-calorie regular diet in morbid obese patients prior to bariatric surgery (laparoscopic single anastomosis gastric bypass): a prospective, double-blind randomized study."
2011,Does bariatric surgery improve the patient's quality of life?
2011,"[Similarities, differences and agonisms of pleiotropic effects of statins and omega-3 fatty acids]."
2011,Effect of the diet components on adiponectin levels.
2011,β-cell autoimmunity in overweight non-diabetic youth: any implications?
2011,"Association of leisure time physical activity, watching television, obesity &amp; lipid profile among sedentary low-income south Indian population."
2011,The link between BMI and waist circumference in northern Iranian adults.
2011,Implementing a physical activity program for underserved African-American women.
2019,Childhood Morbidity and Health in Early Adulthood: Life course linkages in a high morbidity context.
2011,"[Meeting relocated to the National Academy of Medicine, Montpellier, Tuesday, June 15, 2010: Environment and health. Diabetes and obesity at the crossroads of genetics and the environment.]."
2011,Prevalence of malnutrition and its correlation with various diseases in elderly patients in a tertiary care centre in eastern India.
2011,Bariatric to metabolic surgery: management options and experience at a tertiary centre.
2011,Prevalence of metabolic syndrome (METS) using IDF 2005 guidelines in a semi urban south Indian (Boloor Diabetes Study) population of Mangalore.
2011,Post-prandial hypertriglyceridemia in patients with type 2 diabetes mellitus with and without macrovascular disease.
2011,A comparison of Charlson and Elixhauser comorbidity measures to predict colorectal cancer survival using administrative health data.
2011,Late age at first full term birth is strongly associated with lobular breast cancer.
2011,Metabolic surgery and cancer: protective effects of bariatric procedures.
2011,Imaging of Small Bowel Obstruction following Gastric Bypass Surgery for Morbid Obesity: A retrospective review.
2011,Clinically-Defined Maturity Onset Diabetes of the Young in Omanis: Absence of the common Caucasian gene mutations.
2011,A case report of atrial fibrillation potentially induced by hydroxycut: a multicomponent dietary weight loss supplement devoid of sympathomimetic amines.
2011,"Effect of honey versus sucrose on appetite, appetite-regulating hormones, and postmeal thermogenesis."
2011,The influence of visceral fat on the postprandial lipemic response in men with paraplegia.
2011,Low physical activity is a predictor of thinness and low self-rated health: gender differences in a Swedish cohort.
2011,[Characteristics of dysphagic patients in public home care service].
2011,[Breast cancer in women over 60 years of age].
2011,Exploring pretreatment weight trajectories in obese patients with binge eating disorder.
2011,Influence of depressive and eating disorders on short- and long-term course of weight after surgical and nonsurgical weight loss treatment.
2011,"Effects of a supplement containing chromium and magnesium on morphometric measurements, resting glucose, insulin concentrations and insulin sensitivity in laminitic obese horses."
2011,Obesity and reproductive performance in women.
2011,"Depression, coronary artery disease, type 2 diabetes, metabolic syndrome and quality of life in Taiwanese adults from a cardiovascular department of a major hospital in Southern Taiwan."
2011,[Cardiovascular risk factors in women].
2011,The Effects of Very-Low-Calorie Diets on HDL: A Review.
2011,Malaysia Shape of the Nation (MySoN): a primary care based study of abdominal obesity in Malaysia.
2011,[Hormones of adipose tissue in diabetes mellitus and its complications (review of literature and the authors'own data)].
2011,The prevalence of gestational diabetes among Micronesians in Honolulu.
2011,Evaluation of specific metabolic rates of major organs and tissues: comparison between men and women.
2011,The relationship between obesity and elderly suicide rates: a cross-national study.
2011,Perspectives on the crisis and challenge of cardiovascular disease in the diverse Asian populations of California.
2011,"Diet, psychosocial factors related to diet and exercise, and cardiometabolic conditions in Southern Californian Native Hawaiians."
2011,Energy balance modulates colon tumor growth: Interactive roles of insulin and estrogen.
2011,Obstetrical sonography in obese women: a review.
2011,Does obesity limit the sonographic diagnosis of appendicitis in children?
2020,Benign Prostatic Hyperplasia and Male Lower Urinary Tract Symptoms: Epidemiology and Risk Factors.
2019,"Diabetes mellitus, cachexia and obesity in heart failure: rationale and design of the Studies Investigating Co-morbidities Aggravating Heart Failure (SICA-HF)."
2019,"Tobacco, Formula, and Frequent Pregnancies: The Obesity Trinity."
2011,Global health is (local) public health.
2012,Proteomic profile of visceral adipose tissues between low-fat diet-fed obesity-resistant and obesity-prone C57BL/6 mice.
2012,Zeranol enhances leptin-induced proliferation in primary cultured human breast cancer epithelial cells.
2011,Breast cancer prevention based on gene-environment interaction.
2011,Recent trends in pediatric hypertension research.
2011,Obesity and the role of lifestyle and dietary intervention in the management of pediatric hypertension.
2011,Recent advances in the pathogenesis of hypertension in children.
2011,Epidemiology of hypertension in children and adolescents.
2011,[Effect of weight reduction programme on C-peptide concentration and lipid profile in obese children aged 4 to 10 years].
2011,Chronic dietary intake of quercetin alleviates hepatic fat accumulation associated with consumption of a Western-style diet in C57/BL6J mice.
2011,Does obesity increase risk for iron deficiency? A review of the literature and the potential mechanisms.
2013,"Development, implementation, and effects of community-based diabetes prevention program for obese latino youth."
2011,Patient perspectives on the integration of an intensive online behavioral weight loss intervention into primary care.
2011,Improving diet and exercise in pregnancy with Video Doctor counseling: a randomized trial.
2011,Anaesthetic considerations for the obese child.
2012,Prevalence of health conditions and predictors of mortality in oldest old Mexican Americans and non-Hispanic whites.
2012,Has the prevalence of disability increased over the past decade (2000-2007) in elderly people? A Spanish population-based survey.
2011,Potentially inappropriate prescribing of primarily renally cleared medications for older veterans affairs nursing home patients.
2011,[The influence of diet with reduction in calorie intake on metabolic syndrome parameters in obese subjects with impaired glucose tolerance].
2011,[Characteristics of endometrial carcinoma in obese women].
2011,[The effects of metformin plus sulfonylurea therapy on clinical features of the metabolic syndrome].
2011,"Latina mothers' beliefs and practices related to weight status, feeding, and the development of child overweight."
2011,[Analysis of body mass index in different sector workers for over ten years].
2011,[Why an accurate diet for employees].
2011,[The role of food in the workplace for health promotion and education to the future].
2011,A pilot study on lipolytic effect of subcutaneous botulinum toxin injection in rabbits.
2011,Childhood obesity and parental smoking as risk factors for childhood ADHD in Liverpool children.
2011,Developmental comorbidity in attention-deficit/hyperactivity disorder.
2012,Rapid weight gain in early infancy is associated with adult body fat percentage in young women.
2012,"Overweight, obesity, high blood pressure and lifestyle factors among Mexican children and their parents."
2011,Abdominal circumference should not be a required criterion for the diagnosis of metabolic syndrome.
2011,"BMI, waist circumference, and clustering of cardiovascular risk factors in Japanese adults."
2011,Optimal cutoff values of waist circumference and the discriminatory performance of other anthropometric indices to detect the clustering of cardiovascular risk factors for metabolic syndrome in Japanese men and women.
2011,Insight into physical activity in combating the infantile metabolic syndrome.
2011,Constitutively active Stat5A and Stat5B promote adipogenesis.
2011,Targeted therapies of the LKB1/AMPK pathway for the treatment of insulin resistance.
2011,'Energy expenditure genes' or 'energy absorption genes': a new target for the treatment of obesity and Type II diabetes.
2011,Discovery and development of 5-HT(₂C) receptor agonists for obesity: is there light at the end of the tunnel?
2011,Well-being of obese individuals: therapeutic perspectives.
2011,Childhood obesity-related cardiovascular risk factors and carotid intima-media thickness.
2011,[Ultrasonography measurement of intrabdominal visceral fat in obese men. Association with alterations in serum lipids and insulinemia].
2011,[Evolution of the nutritional status of Chilean children from preschool to school age: anthropometric results according to the source of the data].
2011,[Effectiveness of the Body Mass Index in the nutritional diagnosis of pregnant adolescents].
2011,Protein tyrosine phosphatases as drug targets: strategies and challenges of inhibitor development.
2015,[Surveillance system OKkio alla SALUTE: the role of primary school in the promotion of healthy life style--results in 2008].
2011,[The significance of resistin concentration in metabolical diseases].
2011,Venous thromboembolism after bariatric surgery performed by Bariatric Surgery Center of Excellence Participants: analysis of the Bariatric Outcomes Longitudinal Database.
2011,Laparoscopically assisted transgastric endoscopy in Roux-en-Y gastric bypass: a word of caution.
2011,Management of malignant left-sided large bowel obstruction: a comparison between colonic stents and surgery.
2015,Obesity in the elderly.
2012,[Directional differentiation of adipose-derived stem cell].
2011,[Nutritional status in children victims of physical and sexual abuse].
2011,[Insulin-resistance and cardiovascular risk].
2011,Prevalence of overweight and obesity in young adults in Uganda.
2011,Hyperinsulinemic hypoglycemia after Roux-en-Y gastric bypass: unraveling the role of gut hormonal and pancreatic endocrine dysfunction.
2011,[Pre-oxygenation in morbidly obese patients].
2011,[Deep-neck infection: clinical analysis of 299 cases].
2011,Gender-specific differences in the association of adiponectin gene polymorphisms with body mass index.
2011,German new onset diabetes in the young incident cohort study: DiMelli study design and first-year results.
2011,Associations of negative affect and eating behaviour in obese women with and without binge eating disorder.
2011,A preliminary investigation of sex differences and the mediational role of food thought suppression in the relationship between stress and weight cycling.
2011,Opinions and acceptability of common weight-loss practices.
2011,Prevalence of all relevant eating disorders in patients waiting for bariatric surgery: a comparison between patients with and without eating disorders.
2011,Mother-daughter resemblance in BMI and obesity-related behaviors.
2011,Evidence for the relationship between diet and cancer.
2011,"Obesity, body dissatisfaction, and emotional well-being in early and late adolescence: findings from the project EAT study."
2011,"Comparison of overweight, weight perception, and weight-related practices among high school students in three large Chinese cities and two large U.S. cities."
2011,Association of Helicobacter pylori infection with cardiovascular disease--is it just a myth?
2011,Nuts: anti-atherogenic food?
2011,[A case of severe obese patient complicated with type-2 diabetes--transition from Very Low Calorie Diet(VLCD) therapy to Low Calorie Diet(LCD)therapy].
2011,Noncirrhotic human nonalcoholic fatty liver disease induces portal hypertension in relation to the histological degree of steatosis.
2011,Measurement of body composition in cats using computed tomography and dual energy X-ray absorptiometry.
2011,[Obesity in Mexico: epidemiology and health policies for its control and prevention].
2011,[Obesity as disease and as social problem].
2011,[The effectiveness of transcranial treatment using the AMO-ATOS-E apparatus for the correction of the reproductive system disorders in adolescent girls].
2011,The role of obstructive sleep apnea syndrome and obesity in determining leptin in the exhaled breath condensate.
2011,Impact of body mass index on seminal oxidative stress.
2011,"Predictors of obesity among post graduate trainee doctors working in a tertiary care hospital of public sector in Karachi, Pakistan."
2011,[Rehabilitative and prophylactic measures including physical training for the correction of risk factors in patients presenting with ischemic heart disease following percutaneous coronary interventions].
2020,Underdiagnosis of Metabolic Syndrome in Non-Hispanic Black Adolescents: A Call for Ethnic-Specific Criteria.
2011,Three years with adult human brown adipose tissue.
2011,Oral inflammatory process and general health. Part 1: The focal infection and the oral inflammatory lesion.
2011,Lack of effect of a moderate hypocaloric diet on visfatin levels in morbid obese patients: relationship with insulin resistance.
2011,[The attempt of identification of the essentials risk factors of venous thromboembolism after hip arthroplasty despite of pharmacological prophylaxis].
2011,[Obesity--a challenge for modern ortopedy].
2011,"[Effects of acupuncture combined with dietary adjustments and aerobic exercise on body weight, body mass index and serum leptin level in simple obesity patients]."
2011,[Surgical treatment of sleep-related breathing disorders in children].
2011,[Therapeutic approach and medical treatment].
2011,[Symptoms of sleep-disordered breathing in children].
2011,[Epidemiology. Risk factors and genetic influence].
2011,[Obstructive sleep-related respiratory disorders in children].
2011,Vascular cognitive impairment: Current concepts and Indian perspective.
2011,"Is central obesity, hyperinsulinemia and dyslipidemia associated with high-grade prostate cancer? A descriptive cross-sectional study."
2011,A trip to Boston: reflections on battling the obesity epidemic.
2011,[Risk factors of pelvic organ prolapsed in women qualified to reconstructive surgery--the Polish multicenter study].
2011,[Effect of sulodexide on aortic vasodilation capacity and associated morphological changes in rats with streptozotocin-induced diabetes].
2011,[Bariatric surgery and sleep apnea syndrome].
2011,Cancer care inequity for women in resource-poor countries.
2011,Obesity in resource-poor nations.
2011,"Food intake, leisure time activities and the prevalence of obesity in schoolchildren in Slovakia."
2011,Changes over fourteen years in adult obesity in Estonia: socioeconomic status and use of outpatient health services.
2011,Promise and hope for healthy schools.
2011,Characteristics of prepared food sources in low-income neighborhoods of Baltimore City.
2020,"Exercise in aging: its important role in mortality, obesity and insulin resistance."
2011,Metabolic syndrome and cardiovascular risk.
2011,Superficialization of deep arteriovenous access procedures in obese patients using suction-assisted lipectomy: A novel approach.
2012,[Chemical principles and bioactivities of blueberry].
2011,Vitamin D status in Norwegian children and adolescents with excess body weight.
2011,Periodontal disease and obesity in children.
2011,Adiponectin and adiponectin receptor in relation to colorectal cancer progression.
2011,"Abstracts of the 26th Annual Meeting of the German Society of Obesity, 4-6 November 2010, Berlin, Germany."
2011,[Cancer and obesity].
2011,[Development of a statistical metabolic syndrome simulator].
2011,[Non-alcoholic fatty liver disease: a new challenge for cardiologists].
2011,"[Short, medium and long-term follow-up of living donors]."
2016,Toward Dietary Assessment via Mobile Phone Video Cameras.
2011,[Genetic variations in energy balance regulation].
2011,[Assessment of nutritional status of patients in the later period after renal transplantation].
2011,[Metabolic syndrome and insulin resistance in patients with chronic hepatitis C].
2011,[Role of obesity in the development of osteoarthrosis and concomitant diseases].
2011,[Post-stroke somatic pathology in patients with a history of alcohol abuse].
2011,Inguinal hernia repair with local anesthesia in the outpatient.
2011,[Evaluation of the main late endocrine effects in children and adolescents after treatment of malignancies].
2011,A novel GNAS mutation in an infant boy with pseudohypoparathyroidism type Ia and normal serum calcium and phosphate levels.
2011,Congenital leptin deficiency: diagnosis and effects of leptin replacement therapy.
2011,Considering statins for cholesterol-reduction in children if lifestyle and diet changes do not improve their health: a review of the risks and benefits.
2011,Overweight and obesity between adolescence and young adulthood: a 10-year prospective cohort study.
2011,Pattern of weight changes in women with breast cancer.
2011,Epidemiology of cancer of the liver and intrahepatic bile ducts in an Australian population.
2011,EATWELL project: approaching European healthy eating policies from a multi-disciplinary perspective.
2011,New factors of cardiometabolic risk in severely obese children: influence of pubertal status.
2011,[Habits and lifestyles modifiable in children with overweight and obesity].
2011,[Study of the anthropometric and nutritional characteristics of adolescents in the city of Valladolid].
2011,Bioelectric impedance overestimates the body fat in overweight and underestimates in Brazilian obese women: a comparison with Segal equation 1.
2011,Effect of two different hypocaloric diets in transaminases and insulin resistance in nonalcoholic fatty liver disease and obese patients.
2011,[The effect of weight loss on mortality: a systematic review from 2000 to 2009].
2011,Is liver transaminases assessment an appropriate tool for the screening of non-alcoholic fatty liver disease in at risk obese children and adolescents?
2011,[Surgery of type 2 diabetes mellitus: the great discovery of bariatric surgery].
2011,[Prediction of optimal gluteal intramuscular needle length by skinfold thickness measurements in Korean adults].
2011,"[Comparison in weight, height, degree of obesity and body mass index among different methods for body shape classification in school-age children]."
2011,Laparoscopic Roux-en-Y gastric bypass: 10-year follow-up.
2011,Reinforced circular stapler in bariatric surgery.
2011,Intragastric balloon treatment of obesity must be combined with bariatric surgery: a pilot study in Turkey.
2011,"TLRs, Alcohol, HCV, and Tumorigenesis."
2011,"Relationships between Obesity, Cardiorespiratory Fitness, and Cardiovascular Function."
2011,Suspected nonalcoholic Fatty liver disease is not associated with vitamin d status in adolescents after adjustment for obesity.
2011,Fatty acids and the endoplasmic reticulum in nonalcoholic fatty liver disease.
2011,"Body Mass Index, Weight Gain during Pregnancy and Obstetric Outcomes."
2011,Gestational diabetes mellitus in Tonga: insights from healthcare professionals and women who experienced gestational diabetes mellitus.
2011,"The role of sociocultural factors in obesity aetiology in Pacific adolescents and their parents: a mixed-methods study in Auckland, New Zealand."
2011,[Nutritional and metabolic pattern].
2011,Continuous endurance-type exercise training does not modulate satellite cell content in obese type 2 diabetes patients.
2011,Dietary strategies for the prevention &amp; treatment of metabolic syndrome.
2011,Smokeless tobacco and prevalence of cardiovascular disease.
2011,Health information technology and health system redesign--the Quality Chasm revisited.
2011,Black adrenal adenoma causing preclinical Cushing's syndrome.
2011,Wound healing in mice with high-fat diet- or ob gene-induced diabetes-obesity syndromes: a comparative study.
2020,Impacting obesity and glycemic control using a culturally-sensitive diabetes education program in Hispanic patients with type 2 diabetes.
2011,AMPK as Target for Intervention in Childhood and Adolescent Obesity.
2011,Sugar consumption in New Zealand--with Thornley and McRobbie response.
2012,Transumbilical 2-site laparoscopic Roux-en-Y gastric bypass: initial results of 100 cases and comparison with traditional laparoscopic technique.
2011,Increased body mass index does not lead to a worsening of asthma control in a large adult asthmatic population in Spain.
2019,Prevalence and risk factors for gastroesophageal reflux disease in an impoverished minority population.
2011,[New techniques of abdominoplasty].
2011,Endocrine disorders in a specialist hospital in Jamaica.
2011,The influence of diabetes on the relationship between N-terminal pro-B-type natriuretic peptide and body mass index.
2011,The effects and mechanism of xenogeneic adipocyte vaccine for the prevention of obesity in rats.
2011,For the patient. Crowded households and obesity in young black and white adults.
2011,Assessment of executive functions in obese individuals with binge eating disorder.
2011,Caribbean Wellness Day: mobilizing a region for chronic noncommunicable disease prevention and control.
2011,Treatment of type 2 diabetes in Latin America: a consensus statement by the medical associations of 17 Latin American countries. Latin American Diabetes Association.
2011,Retinal redox stress and remodeling in cardiometabolic syndrome and diabetes.
2011,Description of a large-scale study design to assess work-stress-disease associations for cardiovascular disease.
2011,Homozygosity for a novel missense mutation in the leptin receptor gene (P316T) in two Egyptian cousins with severe early onset obesity.
2011,Self-perceived oral health and obesity among 65 years old in two Swedish counties.
2011,For the patient. Physical activity and obesity in the Jackson Heart Study population.
2011,A proposed new food guide: why pyramids should stop at traffic lights.
2011,Prevalence of cardiometabolic risk factors in Hispanics living with HIV.
2011,"Obesity and other cardiovascular disease risk factors and their association with osteoarthritis in Southern California American Indians, 2002-2006."
2011,Effect of African American race on hypertension management: a real-world observational study among 28 US physician practices.
2011,Physical activity and obesity in African Americans: the Jackson Heart Study.
2011,Sex differences in blood pressure levels and its association with obesity indices: who is at greater risk.
2011,Household density and obesity in young black and white adults.
2011,The obesity epidemic and disordered sleep during childhood and adolescence.
2011,Etiologies and evaluation of sleep disturbances in adolescence.
2011,Pediatric idiopathic intracranial hypertension: clinical and demographic features.
2011,Diet quality of middle age and older women from Primorsko-Goranska County evaluated by healthy eating index and association with body mass index.
2011,Chronotropic incompetence and coronary artery disease.
